"","year","SPEI_may_recent","tmin_feb_may_lag","tavg_apr_oct_lag"
"1",2004,1.80248068565804,0.650799616399933,-0.58615991126869
"2",2005,-1.10889508611319,0.0874145208369352,0.0164066689198259
"3",2006,1.72672815596257,0.777990620215808,-0.0641273360087825
"4",2007,-0.151509566417231,-0.519565407107019,-0.0940232388830832
"5",2009,0.963964654661083,0.000435829991987279,-0.2472221794461
"6",2010,-0.920769449920347,-0.860446671034581,0.0270714221536149
"7",2011,-1.4766784917474,-0.768297384829928,0.38741872441171
"8",2012,-1.06667379030255,0.542934716630907,-0.233307746163049
"9",2013,0.972325917619431,-0.049267495773448,-0.0627944196381615
"10",2014,0.770564238006581,0.284860330926963,-0.0368048826770545
"11",2015,0.318406721259281,0.0616283663659512,0.0560986149185194
"12",2016,-0.900960016403811,-0.0233219610178359,0.13248379297113
"13",2017,-0.65191277737298,0.651126803176975,0.215439335472731
