"","plantID","Plot","yearT","sizeT","pflowerT","fertilityT","survival","sizeT1"
"72","T2.SJ10","T2",2004,6.33768673673961,0,NA,1,6.35830602394235
"73","T2.SJ12","T2",2004,6.77115123934813,0,NA,1,7.49328595678133
"74","T2.SJ13","T2",2004,7.97740235870718,0,NA,1,7.56227882826828
"75","T2.SJ14","T2",2004,6.26072569560348,0,NA,1,6.30725139304042
"76","T2.SJ16","T2",2004,7.0855588169888,0,NA,1,7.66774137953662
"77","T2.SJ17","T2",2004,6.88076440434279,0,NA,1,7.05264297263788
"78","T2.SJ2","T2",2004,7.63974364775259,0,NA,1,7.08407843181836
"79","T2.SJ3","T2",2004,3.42199717085916,0,NA,1,2.81870631942107
"80","T2.SJ9","T2",2004,7.58434646219531,0,NA,1,7.79198582697356
"81","T3.AD1","T3",2004,11.5710655021287,1,7,1,11.1174811065371
"82","T3.AD10","T3",2004,11.9420137232654,1,24,1,11.7457596342012
"83","T3.AD12","T3",2004,12.7071056145357,1,7,1,11.3977072560166
"84","T3.AD13","T3",2004,12.1693085088141,1,18,1,11.5465452893215
"85","T3.AD15","T3",2004,11.3208112534158,1,2,1,11.167324597004
"86","T3.AD17","T3",2004,12.2890042158342,1,30,1,11.7841856141319
"87","T3.AD18","T3",2004,12.6117091387819,1,9,1,11.891399698439
"88","T3.AD19","T3",2004,11.5414899029039,1,27,1,10.6237988423603
"89","T3.AD20","T3",2004,11.1507853082354,1,10,1,10.8170364650243
"90","T3.AD21","T3",2004,12.1934906418527,1,14,1,11.5833087543561
"91","T3.AD22","T3",2004,10.370295431082,1,10,1,10.5150166102494
"92","T3.AD24","T3",2004,12.1502959350301,1,18,1,11.8173375177087
"93","T3.AD25","T3",2004,11.3811118536589,1,7,1,11.0870414382431
"94","T3.AD28","T3",2004,11.1542839547662,1,19,1,10.9696780272786
"95","T3.AD3","T3",2004,11.8730505597708,1,38,1,12.2672121591277
"96","T3.AD30","T3",2004,11.2768260291308,1,3,1,10.5397639987646
"97","T3.AD5","T3",2004,12.2841054896561,1,5,1,11.8099262863662
"98","T3.AD6","T3",2004,11.4867411503961,1,25,1,11.2917516793475
"99","T3.AD7","T3",2004,12.2914109558647,1,26,1,12.0552899304131
"100","T3.AD8","T3",2004,12.012885550833,1,13,1,11.9131613656686
"101","T3.LJ13","T3",2004,8.64438373462401,0,NA,1,8.84283467334784
"102","T3.LJ14","T3",2004,10.6808425970245,0,NA,1,10.3836577146775
"103","T3.LJ17","T3",2004,10.189556652681,0,NA,1,10.3159027099257
"104","T3.LJ18","T3",2004,11.0009860586801,0,NA,1,10.7950575583055
"105","T3.LJ19","T3",2004,10.3978423496695,0,NA,1,10.2890906988916
"106","T3.LJ2","T3",2004,10.821400481705,0,NA,1,10.968085751059
"107","T3.LJ20","T3",2004,9.77347935946047,0,NA,1,9.31087512919204
"108","T3.LJ4","T3",2004,11.2087725658858,0,NA,1,11.1625092014509
"109","T3.LJ6","T3",2004,9.85221280370877,0,NA,1,9.98158214228338
"110","T3.LJ8","T3",2004,8.65351705648368,0,NA,1,9.34542420499819
"111","T3.SJ10","T3",2004,5.99871136990028,0,NA,1,6.63228925203596
"112","T3.SJ11","T3",2004,7.76402501197591,0,NA,1,6.90913698232204
